x0,x1,label
-0.213096,-0.920492,0
-0.158950,0.436941,1
1.036415,-0.337009,0
0.555724,-0.755056,0
-0.689431,-0.702151,0
-0.408291,-0.007897,1
-0.962220,-0.130706,0
-0.554205,-0.127105,1
-0.350548,0.358831,1
-0.924926,-0.376378,0
-0.590047,-0.027382,1
-0.859733,-0.353092,0
0.926937,-0.234694,0
-0.106257,0.443556,1
0.339491,0.377100,1
0.413853,0.297356,1
0.558242,0.214590,1
0.979836,-0.077533,0
0.835372,0.576901,0
0.937595,-0.395110,0
0.954855,0.252503,0
-0.574723,-0.015305,1
0.047414,0.457987,1
-0.417927,0.130206,1
0.291081,-0.328449,1
0.628515,-0.780084,0
-0.643929,0.794145,0
-0.833803,0.567739,0
-0.108189,-0.360161,1
0.851075,0.562545,0
0.294445,-0.960601,0
0.242589,-1.056378,0
0.719046,0.608035,0
0.638352,0.777416,0
0.894657,-0.402723,0
-0.425536,0.231929,1
-0.010726,-0.525142,1
-0.470316,0.894094,0
-0.931515,0.417165,0
0.884160,-0.388609,0
0.805166,-0.382258,0
0.369864,0.885715,0
0.447476,0.291654,1
0.243000,0.470086,1
-0.349555,-0.323208,1
-0.337944,0.322368,1
-0.056304,1.030241,0
0.923870,0.489026,0
0.158783,-1.010016,0
0.268204,-0.918384,0
1.016999,-0.369609,0
0.307125,-0.405107,1
-0.335259,-0.293740,1
0.709960,0.708462,0
0.229707,0.416257,1
0.512730,0.132859,1
0.206639,-0.506471,1
-0.996017,-0.387004,0
-1.012609,0.482558,0
0.550491,0.956025,0
-0.491831,0.216939,1
-0.297600,-0.465816,1
0.376550,0.356725,1
0.433193,-0.226061,1
0.911499,0.485905,0
-0.467525,0.159982,1
0.485662,0.918798,0
-0.986490,0.129591,0
0.662864,-0.691632,0
0.517952,0.849126,0
0.208881,-0.961576,0
-0.013706,0.945357,0
-0.504980,0.124408,1
0.301824,-0.324175,1
0.168829,-0.942640,0
-0.564913,0.769739,0
-0.276299,-0.341123,1
0.343116,0.444873,1
0.399307,-0.239385,1
1.130534,0.049922,0
-0.070629,-0.492007,1
-0.965663,-0.131355,0
0.043276,-0.976795,0
0.267198,0.434333,1
-0.473272,0.196392,1
-0.007317,1.095866,0
-0.354528,0.976147,0
-0.512987,-0.153696,1
-1.014824,0.203286,0
-0.478658,-0.025093,1
-0.041202,1.019355,0
-0.789332,-0.667695,0
-0.176940,0.902729,0
0.361462,0.404588,1
-0.452776,0.154587,1
-0.984942,0.074079,0
0.259764,-0.408015,1
-0.421959,-0.278800,1
0.688084,-0.651360,0
-0.704660,0.780073,0
-0.373176,-0.907569,0
0.982656,0.187166,0
-0.439548,-0.038951,1
0.197405,0.416335,1
0.120315,-0.506941,1
-0.288230,0.384749,1
0.332293,-0.910528,0
-0.218209,-0.983195,0
-0.016423,-0.909415,0
0.436787,-0.168054,1
-0.942610,0.406452,0
-0.701075,-0.596187,0
-1.030253,-0.105786,0
-0.910838,0.449372,0
0.125296,-0.510184,1
-0.564197,-0.896135,0
-0.770425,-0.654156,0
-0.262354,-0.913827,0
-0.679323,0.624767,0
-0.146731,0.551262,1
1.000915,-0.044585,0
-0.987161,0.192455,0
0.810546,-0.593638,0
-0.287021,-0.504080,1
1.018387,0.202899,0
-0.571876,-0.236925,1
-0.407666,0.330384,1
0.470777,0.216260,1
-0.549400,0.778931,0
0.485932,-0.347075,1
0.947794,0.178325,0
-0.937245,-0.329910,0
0.344415,-0.945614,0
0.501098,0.137082,1
0.055652,0.495887,1
0.034194,0.442733,1
0.273258,0.371369,1
0.097484,0.915431,0
-0.381118,0.331586,1
0.323442,0.909202,0
-1.038366,0.249746,0
-0.054736,-0.456053,1
-0.419276,0.919471,0
